tweet_text,class
O bom de usar Samsung é que desde ontem eu não carrego meu cllr,1
"Gente eu passei anos e anos sendo hater da Samsung. Mas o celulares deles estão IMPECÁVEL, meu celular além de ser o único que eu não quebro (ta aguentando um ano já) tem o sistema MUITO BOM e mil utilidades",1
"MEU GALAXY S20+ TÁ MUITO BOM AINDA, NÃO PRECISO TROCAR ELE, NÃO",1
"Esse carregador turbo da samsung é mt bom, coloquei meu celular pra carregar 13h e já tá em 70%",1
Que celular excelente é o tal Galaxy S22 Ultra. Poderia ter investido nele sem arrependimento,1
"IPhone é bom, mas nada tira a bateria do Samsung",1
Pelo menos o microfone do fone da samsung é bom,1
eita que esse samsung notes é bom mesmo dá até pra escrever nos arquivos pdf,1
O bom do Samsung é q vc consegue colocar vídeo na tela de bloqueio 🙌🏻,1
"celular bom é o meu samsung, q veio tomando chuva do sintético ate em casa e n queimou💪",1
"ser usuário de samsung é mt bom. acabei de descobrir q tem um botao p espelhar o celular na tv, fácil fácil",1
galera q pensar em comprar o samsung s20 fe compre que é um ótimo custo beneficio ate agr (uns 2 a 3 meses de uso),1
"Oq eu gosto do s22 é que ele é plano, cabe em qualquer lugar, não esquenta, é rápido e a câmera é ótima. Contra: É UMA TELHA, UM MINI TABLET, NÃO DA PRA DIGITAR COM UMA MÃO E CAPA É MUITO MAIS CARO tirando isso muito bom só perde pro s21 pq esse ficou no meu coração (todos ultra)",1
"Bom de iPhone é isso, da o seu de entrada e pega um mais novo barateza",1
Minha irmã pegou um iPhone 13 eu tava olhando pqp é outra coisa né se compara fiquei em choque que cll bom vsfd mil coisas pra fazer,1
Tão bom digitar de um iPhone 🥹,1
O bom do iPhone que posso ver o que está escrito na msg antes de abrir kkkkkkkk,1
Bom dia sexta feira 13… as 6 da manhã já comecei derrubando um copo cheio de água no meu iPhone. Graças a Deus ele sobreviveu! 🙏🏼,1
"Eu simplesmente amo meu IPhone fodase, celular bom do caralho, só de pegar na mão já fico feliz",1
fazer vídeo com câmera do iPhone 14 é simplesmente outro nível de bom,1
"Sério, iphone em questão de qualidade de imagem e visualização é outro mundo, muito bom de verdade",1
O iPhone cria uns vídeos excelente de acordo com as fotos da galeria kkkkkk,1
"Ainda bem q o volume de motorola é bom, mãe tá lá fora e eu escutando ela olhando reels do quarto",1
"como nova usuária de Motorola eu estou gostando dele, para telefone profissional ele é ótimo",1
Muito bom ter Xiaomi que dá pra ouvir música online de boa pelo Youtube por causa do player de música conectado,1
aff o xiaomi 12t e tao feinho em compensação ele e otimo,1
Antes eu criticava bastante os testemunhas de celulares da Xiaomi...Comprei um!!! Resumindo. Virei um testemunha também kkkkkk puta celular bom mané,1
"100% confirmado   meu celular cometeu suicídio e se arrependeu, o celular da minha mãe foi diferente e só morreu,  zero sinais de vida   motivo? provavelmente o mesmo, bateria (o meu tava ruim e o outro ainda era original)  mas confia!!! Xiaomi é realmente muito bom!!!",1
eu odiava com todas as forças tirar foto no espelho mas percebi q eu só tinha câmera ruim s20 eu te amo,1
"Eu ainda tô chocada em como meu celular antigo era péssimo,  esse não deu nenhuma engasgada até agora,  muda a paleta do celular pra combinar com o wallpaper e muda cor de icon do app e ainda a galeria tem o próprio widget de foto  eu amo a samsung",1
"fodase se iPhone é ruim, eu quero é tirar foto boa no insta, personalizar meu celular sem aplicativo com anúncio, achar capinha até na freira, tira foto legal, acho impossível um celular caro NAO RODAR um jogo sequer bixo",1
"impressionante o atalho do iphone pra ejetar água que entra sem querer, já tava querendo chorar porque entrou água no alto falante e o som tava péssimo e resolveu em segundos com uns sons estranhos",1
"Não tem nada ruim Apple TV, né? Todas as séries entregam tudo. Os filmes...  E tem a Oprah 🥰  Tô impressionado.",1
"nossa gente quem fala q a bateria do iphone e ruim so pode estar maluco, eu literalmente fico o dia todo assistindo escutando musica jogando e a bateria dura pra caralho, sem conta q carrega rapidinho ne",1
Até que iPhone não é ruim,1
"Detesto bilionários dito isso 

Gente a Amazon não tem um gadget que seja ruim. Infelizmente adoro tudo que compro 🫥
Alexa me ajuda a treinar, Kindle nem se fala, fire stick renovou tudo as minha tv que são mais antiga.",1
"tweetando pouco e vendo pouco as redes sociais pois to com um celular provisório tão ""bom"" que não sinto vontade de mexer nele 😍",1
"dava de tudo por um celular com armazenamento bom, de verdade",1
"Todos os vídeos no tiktok que eu vejo falando sobre iPhones que valem a pena em 2023 sempre citam o iPhone 11, realmente é um excelente celular 🙏🏽",1
"muito bom que tá tocando o hino do cruzeiro nele, simplesmente meu celular cruzeirou e não é meme",1
"Vim aqui dar um feedback do sistema ""encontrar telefone"" da xiaomi, é muito bom, hoje a sala inteira conseguiu achar o meu celular com bastante facilidade, pequeno dia",1
bom mesmo era quando o celular tinha entrada do fone e outra do carregador 😭,1
"preciso de indicação de celular com a câmera e memória boa

Samsung fica horrível no insta",1
"motorola querendo fazer a mesma linha do ios deixando o celular ruim a cada atualização pra otário pagar outro, sendo que o Motorola e um lixo, tem uma configuração lixo, nunca vi celular ser tão ruim assim
tem um ano de uso só e essa bomba já tá cheia de graça",1
o bom de ter a tv smart é que eu boto no ytb e fico escutando minhas msc,1
Muito bom ter uma tv 4K no meu quarto,1
Como é bom ter um aparelho de tv que FUNCIONA,1
Acho muito chique controlar minha tv pelo celular,1
"Recentemente tive que trocar de celular em decorrência do trágico fim do meu IPhone 7plus, que entrou água ocasionando curto-circuito e perda total do aparelho, mudei pra um S20 FE 5G e não me arrependo, aparelho muito bom com processador snapdragon, o murro na Apple.",1
"Usei ele até 2018, foi quando ganhei meu primeiro celular,  e na pandemia ele me salvou muito, quando meu celular quebrou kkk
Hj em dia ele tá obsoleto demais, mas eu compraria uma geração mais atual de tão bom q eu acho ele
Inclusive tenho uma thread perdida falando dele aqui",1
Comprei um iPhone 12. É estranho ter um celular bom depois de anos usando celulares ruins~medianos.,1
"saudade do meu samsung galaxy j5 plus, a câmera traseira dava de 10 a 0",1
"Eu estava pensando há pouco sobre o ecossistema Apple. Tudo se integra muito bem, a durabilidade das coisas tb. Meu melhor investimento foi num macbook air feito em 2017 e ele está igual ao dia que comprei. Sem tirar nem por. Pro que eu faço que é TEXTO tá ótimo.",1
